Accession;Gene;Protein;Disease/Condition;Sample;Change;Authorship;Study
Q02383;SEMG2;Semenogelin-2 ;Oxidative Stress;Seminal plasma;-;Sharma et al. 2013;Proteomic analysis of human spermatozoa proteins with oxidative stress
Q9UBP4;DKK3;Dickkopf-related protein 3 ;Prostate cancer;Seminal plasma;+;Zenzmaier et al. 2011;Elevated levels of Dickkopf-related protein 3 in seminal plasma of prostate cancer patients
P07288;KLK3;Prostate-specific antigen;Prostate cancer;Seminal plasma;+;Zenzmaier et al. 2011;Elevated levels of Dickkopf-related protein 3 in seminal plasma of prostate cancer patients
O43505 ;B4GAT1;Beta-1,4-glucuronyltransferase 1 ;Prostate cancer;Seminal plasma;+;Neuhaus et al. 2013;Seminal Plasma as a Source of Prostate Cancer Peptide Biomarker Candidates for Detection of Indolent and Advanced Disease
P15309 ;ACPP;Prostatic acid phosphatase ;Prostate cancer;Seminal plasma;+;Neuhaus et al. 2013;Seminal Plasma as a Source of Prostate Cancer Peptide Biomarker Candidates for Detection of Indolent and Advanced Disease
Q8WWQ8 ;STAB2;Stabilin-2 ;Prostate cancer;Seminal plasma;+;Neuhaus et al. 2013;Seminal Plasma as a Source of Prostate Cancer Peptide Biomarker Candidates for Detection of Indolent and Advanced Disease
P04279 ;SEMG1;Semenogelin-1 ;Prostate cancer;Seminal plasma;-;Neuhaus et al. 2013;Seminal Plasma as a Source of Prostate Cancer Peptide Biomarker Candidates for Detection of Indolent and Advanced Disease
Q02383 ;SEMG2;Semenogelin-2 ;Prostate cancer;Seminal plasma;-;Neuhaus et al. 2013;Seminal Plasma as a Source of Prostate Cancer Peptide Biomarker Candidates for Detection of Indolent and Advanced Disease
Q02383 ;GIMAP6;GTPase IMAP family member 6 ;Prostate cancer;Seminal plasma;-;Neuhaus et al. 2013;Seminal Plasma as a Source of Prostate Cancer Peptide Biomarker Candidates for Detection of Indolent and Advanced Disease
P04279 ;SEMG1;Semenogelin-1;Prostate cancer;Seminal plasma;+;Neuhaus et al. 2013;Seminal Plasma as a Source of Prostate Cancer Peptide Biomarker Candidates for Detection of Indolent and Advanced Disease
Q13421;MSLN;Mesothelin (CAK1 antigen) (Pre-pro-megakaryocyte-potentiating factor);Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P01034;CST3;Cystatin C;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P02768;ALB;Serum albumin;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
Q8TES7;FBF1;Fas-binding factor 1 ;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P01009;SERPINA1;Alpha-1-antitrypsin ;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P01036;CST4;Cystatin-S ;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P09466;PAEP;Glycodelin ;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P0C0L4;C4A;Complement C4-A ;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P01023;A2M;Alpha-2-macroglobulin ;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P05154;SERPINA5;Plasma serine protease inhibitor ;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P01024;C3;Complement C3 ;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P06858;LPL;Lipoprotein lipase ;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P01859;IGHG2;Ig gamma-2 chain C region;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P04217;A1BG;Alpha-1B-glycoprotein ;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P05155;SERPING1;Plasma protease C1 inhibitor ;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
Q9HB40;SCPEP1;Retinoid-inducible serine carboxypeptidase ;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P06280;GLA;Alpha-galactosidase A ;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
Q9UHE5;NAT8;N-acetyltransferase 8 ;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
Q6UX06;OLFM4;Olfactomedin-4 ;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P17405;SMPD1;Sphingomyelin phosphodiesterase ;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
Q9UBX1;CTSF;Cathepsin F ;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P36955;SERPINF1;Pigment epithelium-derived factor ;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
Q9UNW1;MINPP1;Multiple inositol polyphosphate phosphatase 1 ;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P05156;CFI;Complement factor I ;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P53634;CTSC;Dipeptidyl peptidase 1 ;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P04080;CSTB;Cystatin-B ;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
Q15828;CST6;Cystatin-M ;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
Q9P2K2;TXNDC16;Thioredoxin domain-containing protein 16;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P31025;LCN1;Lipocalin-1 ;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P12110;COL6A2;Collagen alpha-2;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
Q9NPC4;A4GALT;Lactosylceramide 4-alpha-galactosyltransferase ;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P0C8F1;PATE4;Prostate and testis expressed protein 4 ;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P35625;TIMP3;Metalloproteinase inhibitor 3 ;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P09228;CST2;Cystatin-SA ;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P02675;FGB;Fibrinogen beta chain;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P49747;COMP;Cartilage oligomeric matrix protein ;Prostatitis;Seminal plasma;+;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P14384;CPM;Carboxypeptidase M ;Prostatitis;Seminal plasma;-;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
Q14204;DYNC1H1;Cytoplasmic dynein 1 heavy chain 1 ;Prostatitis;Seminal plasma;-;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
Q9HC84;MUC5B;Mucin-5B ;Prostatitis;Seminal plasma;-;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
O00194;RAB27B;Ras-related protein Rab-27B ;Prostatitis;Seminal plasma;-;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
O43175;PHGDH;D-3-phosphoglycerate dehydrogenase ;Prostatitis;Seminal plasma;-;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P00918;CA2;Carbonic anhydrase 2 ;Prostatitis;Seminal plasma;-;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P21399;ACO1;Cytoplasmic aconitate hydratase ;Prostatitis;Seminal plasma;-;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P08133;ANXA6;Annexin A6 ;Prostatitis;Seminal plasma;-;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P54289;CACNA2D1;Voltage-dependent calcium channel subunit alpha-2/delta-1 ;Prostatitis;Seminal plasma;-;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
Q9BZQ8;FAM129A;Protein Niban ;Prostatitis;Seminal plasma;-;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P60953;CDC42;Cell division control protein 42 homolog ;Prostatitis;Seminal plasma;-;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P08134;RHOC;Rho-related GTP-binding protein RhoC ;Prostatitis;Seminal plasma;-;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
Q93099;HGD;Homogentisate 1,2-dioxygenase ;Prostatitis;Seminal plasma;-;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P61019;RAB2A;Ras-related protein Rab-2A;Prostatitis;Seminal plasma;-;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
Q7Z4W1;DCXR;L-xylulose reductase ;Prostatitis;Seminal plasma;-;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P11279;LAMP1;Lysosome-associated membrane glycoprotein 1 ;Prostatitis;Seminal plasma;-;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P49189;ALDH9A1;4-trimethylaminobutyraldehyde dehydrogenase ;Prostatitis;Seminal plasma;-;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P30085;CMPK1;UMP-CMP kinase ;Prostatitis;Seminal plasma;-;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P48745;NOV;Protein NOV homolog ;Prostatitis;Seminal plasma;-;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
Q9UIW2;PLXNA1;Plexin-A1 ;Prostatitis;Seminal plasma;-;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
O96009;NAPSA;Napsin-A ;Prostatitis;Seminal plasma;-;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P54920;NAPA;Alpha-soluble NSF attachment protein ;Prostatitis;Seminal plasma;-;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P08294;SOD3;Extracellular superoxide dismutase [Cu-Zn] ;Prostatitis;Seminal plasma;-;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P42702;LIFR;Leukemia inhibitory factor receptor ;Prostatitis;Seminal plasma;-;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
Q9H4A4;RNPEP;Aminopeptidase B ;Prostatitis;Seminal plasma;-;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
O75369;FLNB;Filamin-B ;Prostatitis;Seminal plasma;-;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
O94760;DDAH1;N(G),N(G)-dimethylarginine dimethylaminohydrolase 1;Prostatitis;Seminal plasma;-;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P33176;KIF5B;Kinesin-1 heavy chain ;Prostatitis;Seminal plasma;-;Kagedan em al. 2012;Characterization of the seminal plasma proteome in men with prostatitis by mass spectrometry
P05164 ;MPO;Myeloperoxidase ;Secundary hypogonadism;Seminal plasma;-;Milardi et al. 2014;"Novel Biomarkers of Androgen Deficiency From Seminal Plasma Profiling Using High-Resolution Mass Spectrometry
"
Q96BT7 ;ALKBH8;Alkylated DNA repair protein alkB homolog 8 ;Secundary hypogonadism;Seminal plasma;-;Milardi et al. 2014;"Novel Biomarkers of Androgen Deficiency From Seminal Plasma Profiling Using High-Resolution Mass Spectrometry
"
P16870 ;CPE;Carboxypeptidase E ;Secundary hypogonadism;Seminal plasma;-;Milardi et al. 2014;"Novel Biomarkers of Androgen Deficiency From Seminal Plasma Profiling Using High-Resolution Mass Spectrometry
"
P01034 ;CST3;Cystatin-C ;Secundary hypogonadism;Seminal plasma;-;Milardi et al. 2014;"Novel Biomarkers of Androgen Deficiency From Seminal Plasma Profiling Using High-Resolution Mass Spectrometry
"
Q14185 ;DOCK1;Dedicator of cytokinesis protein 1 ;Secundary hypogonadism;Seminal plasma;-;Milardi et al. 2014;"Novel Biomarkers of Androgen Deficiency From Seminal Plasma Profiling Using High-Resolution Mass Spectrometry
"
Q16610 ;ECM1;Extracellular matrix protein 1 ;Secundary hypogonadism;Seminal plasma;-;Milardi et al. 2014;"Novel Biomarkers of Androgen Deficiency From Seminal Plasma Profiling Using High-Resolution Mass Spectrometry
"
P43304 ;GPD2;Glycerol-3-phosphate dehydrogenase, mitochondrial ;Secundary hypogonadism;Seminal plasma;-;Milardi et al. 2014;"Novel Biomarkers of Androgen Deficiency From Seminal Plasma Profiling Using High-Resolution Mass Spectrometry
"
P01834 ;IGKC;Ig kappa chain C region;Secundary hypogonadism;Seminal plasma;-;Milardi et al. 2014;"Novel Biomarkers of Androgen Deficiency From Seminal Plasma Profiling Using High-Resolution Mass Spectrometry
"
P02788 ;LTF;Lactotransferrin ;Secundary hypogonadism;Seminal plasma;-;Milardi et al. 2014;"Novel Biomarkers of Androgen Deficiency From Seminal Plasma Profiling Using High-Resolution Mass Spectrometry
"
Q96IV0 ;NGLY1;Peptide-N;Secundary hypogonadism;Seminal plasma;-;Milardi et al. 2014;"Novel Biomarkers of Androgen Deficiency From Seminal Plasma Profiling Using High-Resolution Mass Spectrometry
"
P12273 ;PIP;Prolactin-inducible protein ;Secundary hypogonadism;Seminal plasma;-;Milardi et al. 2014;"Novel Biomarkers of Androgen Deficiency From Seminal Plasma Profiling Using High-Resolution Mass Spectrometry
"
P15309 ;ACPP;Prostatic acid phosphatase ;Secundary hypogonadism;Seminal plasma;-;Milardi et al. 2014;"Novel Biomarkers of Androgen Deficiency From Seminal Plasma Profiling Using High-Resolution Mass Spectrometry
"
P06702 ;S100A9;Protein S100-A9 ;Secundary hypogonadism;Seminal plasma;-;Milardi et al. 2014;"Novel Biomarkers of Androgen Deficiency From Seminal Plasma Profiling Using High-Resolution Mass Spectrometry
"
P25311 ;AZGP1;Zinc-alpha-2-glycoprotein ;Secundary hypogonadism;Seminal plasma;-;Milardi et al. 2014;"Novel Biomarkers of Androgen Deficiency From Seminal Plasma Profiling Using High-Resolution Mass Spectrometry
"
P15309 ;ACPP ;Prostatic acid phosphatase;Sertoli cell-only syndrome;Seminal plasma;-;Starita-Geribaldi et al. 2001;Mapping of seminal plasma proteins by two-dimensional gel electrophoresis in men with normal and impaired spermatogenesis
P07288;KLK3;Prostate-specific antigen;Sertoli cell-only syndrome;Seminal plasma;-;Starita-Geribaldi et al. 2001;Mapping of seminal plasma proteins by two-dimensional gel electrophoresis in men with normal and impaired spermatogenesis
P01009;SERPINA1;Alpha-1-antitrypsin ;Smoking;Seminal plasma;-;Fariello et al. 2012;Effect of smoking on the functional aspects of sperm and seminal plasma protein profiles in patients with varicocele
Q13510;ASAH1;Acid ceramidase ;Smoking;Seminal plasma;-;Fariello et al. 2012;Effect of smoking on the functional aspects of sperm and seminal plasma protein profiles in patients with varicocele
P62158;CALM1;Calmodulin ;Smoking;Seminal plasma;-;Fariello et al. 2012;Effect of smoking on the functional aspects of sperm and seminal plasma protein profiles in patients with varicocele
P54107;CRISP1;Cysteine-rich secretory protein 1 ;Smoking;Seminal plasma;-;Fariello et al. 2012;Effect of smoking on the functional aspects of sperm and seminal plasma protein profiles in patients with varicocele
P12429;ANXA3;Annexin A3 ;Smoking;Seminal plasma;+;Fariello et al. 2012;Effect of smoking on the functional aspects of sperm and seminal plasma protein profiles in patients with varicocele
P07858;CTSB;Cathepsin B ;Smoking;Seminal plasma;+;Fariello et al. 2012;Effect of smoking on the functional aspects of sperm and seminal plasma protein profiles in patients with varicocele
P56851;EDDM3B;Epididymal secretory protein E3-beta ;Smoking;Seminal plasma;+;Fariello et al. 2012;Effect of smoking on the functional aspects of sperm and seminal plasma protein profiles in patients with varicocele
P41222;PTGDS;Prostaglandin-H2 D-isomerase ;Smoking;Seminal plasma;+;Fariello et al. 2012;Effect of smoking on the functional aspects of sperm and seminal plasma protein profiles in patients with varicocele
P08294;SOD3;Extracellular superoxide dismutase [Cu-Zn] ;Smoking;Seminal plasma;+;Fariello et al. 2012;Effect of smoking on the functional aspects of sperm and seminal plasma protein profiles in patients with varicocele
P25311;AZGP1;Zinc-alpha-2-glycoprotein ;Smoking;Seminal plasma;+;Fariello et al. 2012;Effect of smoking on the functional aspects of sperm and seminal plasma protein profiles in patients with varicocele
P02768;ALB;Serum;Smoking;Seminal plasma;-;Fariello et al. 2012;Effect of smoking on the functional aspects of sperm and seminal plasma protein profiles in patients with varicocele
P12273;PIP;Prolactin-inducible;Smoking;Seminal plasma;-;Fariello et al. 2012;Effect of smoking on the functional aspects of sperm and seminal plasma protein profiles in patients with varicocele
P61916;NPC2;Epididymal;Smoking;Seminal plasma;-;Fariello et al. 2012;Effect of smoking on the functional aspects of sperm and seminal plasma protein profiles in patients with varicocele
P02751;FN1;Fibronectin;Smoking;Seminal plasma;-;Fariello et al. 2012;Effect of smoking on the functional aspects of sperm and seminal plasma protein profiles in patients with varicocele
P07288;KLK3;Prostate-specific;Smoking;Seminal plasma;-;Fariello et al. 2012;Effect of smoking on the functional aspects of sperm and seminal plasma protein profiles in patients with varicocele
P04279;SEMG1;Semenogelin-1;Smoking;Seminal plasma;-;Fariello et al. 2012;Effect of smoking on the functional aspects of sperm and seminal plasma protein profiles in patients with varicocele
Q02383;SEMG2;Semenogelin-2;Smoking;Seminal plasma;-;Fariello et al. 2012;Effect of smoking on the functional aspects of sperm and seminal plasma protein profiles in patients with varicocele
P01375;TNF;Tumor necrosis factor alpha;Smoking;Seminal plasma;+;Moretti et al. 2014;Resistin, interleukin-6, tumor necrosis factor-alpha, and human semen parameters in the presence of leukocytospermia, smoking habit, and varicocele
P05231;IL6;Interleukin-6;Smoking;Seminal plasma;+;Moretti et al. 2014;Resistin, interleukin-6, tumor necrosis factor-alpha, and human semen parameters in the presence of leukocytospermia, smoking habit, and varicocele
Q9HD89;RETN;Resistin;Smoking;Seminal plasma;+;Moretti et al. 2014;Resistin, interleukin-6, tumor necrosis factor-alpha, and human semen parameters in the presence of leukocytospermia, smoking habit, and varicocele
Q9HD89;RETN;Resistin;Sperm Apoptosis ;Seminal plasma;+;Moretti et al. 2014;Resistin, interleukin-6, tumor necrosis factor-alpha, and human semen parameters in the presence of leukocytospermia, smoking habit, and varicocele
P01375;TNF;Tumor necrosis factor alpha;Sperm Necrosis ;Seminal plasma;+;Moretti et al. 2014;Resistin, interleukin-6, tumor necrosis factor-alpha, and human semen parameters in the presence of leukocytospermia, smoking habit, and varicocele
P05231;IL6;Interleukin-6;Sperm Necrosis ;Seminal plasma;+;Moretti et al. 2014;Resistin, interleukin-6, tumor necrosis factor-alpha, and human semen parameters in the presence of leukocytospermia, smoking habit, and varicocele
Q9HD89;RETN;Resistin;Sperm Necrosis ;Seminal plasma;+;Moretti et al. 2014;Resistin, interleukin-6, tumor necrosis factor-alpha, and human semen parameters in the presence of leukocytospermia, smoking habit, and varicocele
O60224;SSX4;Protein SSX4 ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
P04114;APOB;Apolipoprotein B-100 ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q96RV3;PCNX;Pecanex-like protein 1 ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q3KP22;C11orf85;Membrane-anchored junction protein;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
A6H8Y1;BDP1;Transcription factor TFIIIB component B'' homolog ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q9NWD9;BEX4;Protein BEX4 ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
P46663;BDKRB1;B1 bradykinin receptor ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
C0JYY2;APOB;Apolipoprotein B ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q96BT3;CENPT;Centromere protein T ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q12798;CETN1;Centrin-1 ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q8N3K9;CMYA5;Cardiomyopathy-associated protein 5 ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
O75128;COBL;Protein cordon-bleu;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
P05093;CYP17A1;Steroid 17-alpha-hydroxylase/17,20 lyase ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
P54108;CRISP3;Cysteine-rich secretory protein 3 ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q96M20;CNBD2;Cyclic nucleotide-binding domain-containing protein 2;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
O60888;CUTA;Protein CutA ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q9HAI6;CXorf21;Uncharacterized protein CXorf21;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q14204;DYNC1H1;Cytoplasmic dynein 1 heavy chain 1 ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q75VX8;GAREML;GRB2-associated and regulator of MAPK protein-like ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q8NEG4;FAM83F;Protein FAM83F;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q9NXN4;GDAP2;Ganglioside-induced differentiation-associated protein 2;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
A6NMD2;GOLGA8J;Golgin subfamily A member 8J;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q02846;GUCY2D;Retinal guanylyl cyclase 1 ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
P02790;HPX;Hemopexin ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
P00738;HP;Haptoglobin ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
P20810;CAST;Calpastatin ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
P01859;IGHG2;Ig gamma-2 chain C region;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q9H7Z6;KAT8;Histone acetyltransferase KAT8 ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q14953;KIR2DS5;Killer cell immunoglobulin-like receptor 2DS5 ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
P0CG04;IGLC1;Ig lambda-1 chain C regions;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
P0CG05;IGLC2;Ig lambda-2 chain C regions;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
P0CG06;IGLC3;Ig lambda-3 chain C regions;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q99538;LGMN;Legumain ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q9HAY2;MAGEF1;Melanoma-associated antigen F1 ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
A6NJ78;METTL15;Probable methyltransferase-like protein 15 ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
Q96T58;SPEN;Msx2-interacting protein ;Spinal Cord Injury;Seminal plasma;+;Ferreira da Silva et al. 2013;Differential seminal plasma proteome according to semen retrieval in men with spinal cord injury
